region,total_forest_area_sqkm_2016,total_area_sqkm_2016,percent_fa_region_2016,total_forest_area_sqkm_1990,total_area_sqkm_1990,percent_fa_region_1990
East Asia & Pacific,6421326.3921158,24361338.4462,26.3586765000485,6280252.8421379,24364639.971,25.7760953973174
Europe & Central Asia,10438609.3073239,27440113.6114,38.0414216032517,10199847.6023103,27357215.0411,37.2839398564019
Latin America & Caribbean,9250585.88413525,20039364.4465,46.1620721996047,10242341.7963048,20071224.4509,51.0299798667514
Middle East & North Africa,232131.004009593,11223465.9845,2.06826486871501,199292.595698698,11226230.0066,1.77524062469353
North America,6573934.063,18240983.9864,36.0393609681438,6507240,18252523.9904,35.6511790009015
South Asia,835310.48464,4771604.0344,17.5058634081534,789187.09961,4779833.0601,16.510767001421
Sub-Saharan Africa,6115290.9152861,21242361.0679,28.7881883550464,6515615.1999664,21241391.087,30.6741454610006
World,39958245.9,127354641.4357,31.3755709643095,41282694.9,127328467.4396,32.4222035575689
