country,region,total_forest_area_sqkm_2016,total_area_sqkm_2016,percent_fa_region_2016,total_forest_area_sqkm_1990,total_area_sqkm_1990,percent_fa_region_1990
Nepal,South Asia,36360,143349.9991,25.3644926601189,48170,143000.0124,33.6853117643506
Netherlands,Europe & Central Asia,3766.000061,33689.9948,11.1783931204406,3450,33760.0025,10.2191935560431
New Caledonia,East Asia & Pacific,8390,18280.0128,45.8971232230209,8390,18280.0128,45.8971232230209
New Zealand,East Asia & Pacific,101522.002,263309.9931,38.5560763588049,96580,263309.9931,36.6792003839067
Nicaragua,Latin America & Caribbean,31140,120339.9988,25.8766829902943,45140,120339.9988,37.5103876102083
Niger,Sub-Saharan Africa,11295.99976,1266700.0024,0.891765985521246,19450,1266700.0024,1.53548590535631
Nigeria,Sub-Saharan Africa,65833.99902,910770.0035,7.2283890298326,172340,910770.0035,18.9224501616999
Northern Mariana Islands,East Asia & Pacific,293.4000015,460.0099,63.7812363386092,340,,
North Macedonia,Europe & Central Asia,9980,25219.9955,39.5717754985325,9120,25429.9927,35.8631640503774
Norway,Europe & Central Asia,121140,365122.9967,33.1778609112188,121320,365243.9756,33.2161536136778
Oman,Middle East & North Africa,20,309500.0013,0.00646203551405284,20,309500.0013,0.00646203551405284
Pakistan,South Asia,14290,770880.0113,1.85372558511429,25270,770880.0113,3.27807176597887
Palau,East Asia & Pacific,402.9999924,460.0099,87.6068085491203,380,,
Panama,Latin America & Caribbean,46006.00098,74339.993,61.8859366586166,50400,74339.993,67.7966165533537
Papua New Guinea,East Asia & Pacific,335561.9922,452859.9978,74.0983954931247,336270,452859.9978,74.2547369239068
Paraguay,Latin America & Caribbean,149975.9961,397299.9912,37.7488042843934,211570,397299.9912,53.2519518465069
Peru,Latin America & Caribbean,738053.9844,1279999.9891,57.6604680222649,779210,1279999.9891,60.8757817683953
Philippines,East Asia & Pacific,82800,298169.9945,27.7693938113548,65550,298169.9945,21.9841034339892
Poland,Europe & Central Asia,94562.00195,306190.0072,30.8834382985703,88810,306290.0071,28.9953958475063
Portugal,Europe & Central Asia,31706.00098,91605.6064,34.611419787512,34360,91500.0121,37.5519076024253
Puerto Rico,Latin America & Caribbean,4992.600098,8869.9989,56.2863665969564,2870,8869.9989,32.3562610588373
Romania,Europe & Central Asia,69302.00195,230080.0082,30.1208273122793,63710,229349.9908,27.7785055834413
Russian Federation,Europe & Central Asia,8148895,16376869.9997,49.7585619239163,8089500,16389949.9918,49.3564654196458
Rwanda,Sub-Saharan Africa,4867.999878,24670.009,19.7324608920897,3180,24670.009,12.8901452772068
Samoa,East Asia & Pacific,1710,2829.9894,60.4242545926144,1300,2829.9894,45.9365678189466
Sao Tome and Principe,Sub-Saharan Africa,535.9999847,960.0094,55.8327850435631,560,960.0094,58.3327621583705
Saudi Arabia,Middle East & North Africa,9770,2149690.0026,0.454484134372092,9770,2149690.0026,0.454484134372092
Senegal,Sub-Saharan Africa,82330,192530.0069,42.7621654024882,93480,192530.0069,48.5534704460658
Serbia,Europe & Central Asia,27213.99902,87460.0006,31.1159373808648,24760,87460.0006,28.3100844158924
Seychelles,Sub-Saharan Africa,406.6999817,460.0099,88.4111367385789,406.6999817,460.0099,88.4111367385789
Sierra Leone,Sub-Saharan Africa,31076.00098,72180.0107,43.0534723930153,31180,72180.0107,43.1975552477994
Singapore,East Asia & Pacific,163.5000038,709.0125,23.0602427742811,163.5000038,670.0071,24.4027270457283
Slovak Republic,Europe & Central Asia,19401.99951,48080.0089,40.3535688821389,19220,48100.0037,39.9584168846956
Slovenia,Europe & Central Asia,12481.99951,20141.9897,61.9700421651988,11880,20139.9954,58.9871038401528
Solomon Islands,East Asia & Pacific,21793.99902,27990.0005,77.8635177945066,23240,27990.0005,83.0296519644578
Somalia,Sub-Saharan Africa,62862.00195,627340.0098,10.0204037631907,82820,627340.0098,13.2017723572905
South Africa,Sub-Saharan Africa,92410,1213090.0068,7.61773648138175,92410,1213090.0068,7.61773648138175
Spain,Europe & Central Asia,184520,499563.9915,36.9362090021654,138094.9023,499440.0082,27.6499479482429
Sri Lanka,South Asia,20633.99902,62710.0124,32.9038350182179,22840,62710.0124,36.4216161437085
St. Kitts and Nevis,Latin America & Caribbean,110,260.0101,42.3060488804089,110,260.0101,42.3060488804089
St. Lucia,Latin America & Caribbean,202.3999977,609.9968,33.1805015534508,217.9999924,609.9968,35.7378911495929
St. Vincent and the Grenadines,Latin America & Caribbean,270,390.0022,69.2303787004278,250,390.0022,64.1022025003961
Suriname,Latin America & Caribbean,153282.002,155999.9994,98.2576939676578,154300,155999.9994,98.9102567906805
Sweden,Europe & Central Asia,280730,407310.0045,68.9229326307893,280630,410339.9937,68.3896291632662
Switzerland,Europe & Central Asia,12578.00049,39515.9926,31.8301519521997,11510,39528.9944,29.1178669599548
Syrian Arab Republic,Middle East & North Africa,4910,183629.9899,2.67385518164754,3720,183780.0027,2.0241592911893
Tajikistan,Europe & Central Asia,4123.999939,138789.9933,2.97139573318216,4080,139959.9999,2.91511860739863
Tanzania,Sub-Saharan Africa,456880,885799.9948,51.5782346672012,559200,885799.9948,63.1293749472485
Thailand,East Asia & Pacific,164290,510890.0097,32.1576067021692,140050,510890.0097,27.4129455148749
Timor-Leste,East Asia & Pacific,6747.999878,14869.9929,45.3799804975025,9660,14869.9929,64.9630437954009
Togo,Sub-Saharan Africa,1681.999969,54390,3.09248017834161,6850,54390,12.5942268799412
Tonga,East Asia & Pacific,90,719.9941,12.5001024313949,90,719.9941,12.5001024313949
Trinidad and Tobago,Latin America & Caribbean,2361.000061,5129.9871,46.0235087335795,2406.999969,5129.9871,46.9201953548772
Tunisia,Middle East & North Africa,10511.99951,155360.0104,6.7662196230131,6430,155360.0104,4.13877418226537
Turkey,Europe & Central Asia,118174.0039,769629.9996,15.3546514508814,96220,769629.9996,12.502111410679
Turkmenistan,Europe & Central Asia,41270,469929.9885,8.78215925987877,41270,469929.9885,8.78215925987877
Turks and Caicos Islands,Latin America & Caribbean,344.0000153,950.012,36.2100705359511,344.0000153,950.012,36.2100705359511
Tuvalu,East Asia & Pacific,10,29.9922,33.3420022539194,10,29.9922,33.3420022539194
Uganda,Sub-Saharan Africa,19418.00049,200520.0015,9.68382223456147,47510,199810.0048,23.777588138069
Ukraine,Europe & Central Asia,96787.99805,579289.9931,16.7080390137677,92740,579350.0034,16.0075946242758
United Arab Emirates,Middle East & North Africa,3236.600037,71020.0015,4.55730775646351,2450,71020.0015,3.44973239686569
United Kingdom,Europe & Central Asia,31610,241930.0093,13.0657623216981,27780,241930.0093,11.4826598322294
United States,North America,3103700,9147419.9901,33.9297857030622,3024500,9158959.9941,33.022308230938
Uruguay,Latin America & Caribbean,18677.3999,175020.0011,10.6715802666053,7977.999878,175020.0011,4.55833609179425
Uzbekistan,Europe & Central Asia,32087.80029,425399.989,7.54297158432696,30450,425399.989,7.1579691554717
Vanuatu,East Asia & Pacific,4400,12189.9904,36.0951883932575,4400,12189.9904,36.0951883932575
"Venezuela, RB",Latin America & Caribbean,465186.0156,882050.0115,52.7391882019152,520260,882050.0115,58.9830500784479
Vietnam,East Asia & Pacific,149020,310070.0085,48.06011414032,93630,325489.9879,28.7658617716886
Virgin Islands (U.S.),Latin America & Caribbean,174.8999977,350.0126,49.9696290076414,235.7999992,350.0126,67.369003058747
West Bank and Gaza,Middle East & North Africa,91.70000076,6019.9888,1.52325866054767,90.79999924,6019.9888,1.50830844137119
World,World,39958245.9,127354641.4357,31.3755709643095,41282694.9,127328467.4396,32.4222035575689
"Yemen, Rep.",Middle East & North Africa,5490,527969.9978,1.03983181295837,5490,527969.9978,1.03983181295837
Zambia,Sub-Saharan Africa,484683.9844,743390.0103,65.1991522194928,528000,743390.0103,71.0259746141762
Zimbabwe,Sub-Saharan Africa,137495.9961,386849.9887,35.54245834724,221640,386849.9887,57.2935262955069
